fold,model,store_nbr,item_nbr,family,wmape,bias,sigma_error
1,seasonal_naive,1,100001,GROCERY I,1.0,-2.466666666666667,5.24903619271014
1,seasonal_naive,1,100002,GROCERY I,0.6921241050119332,7.866666666666666,51.20807228032184
1,seasonal_naive,1,100003,GROCERY I,1.5242718446601942,-0.06666666666666667,13.946154957379404
1,seasonal_naive,1,100004,GROCERY I,0.4195583596214511,6.066666666666666,11.847041020963038
1,seasonal_naive,1,100005,GROCERY I,0.7586206896551724,-0.8,4.887301329539062
1,seasonal_naive,1,100006,GROCERY I,0.8260869565217391,-1.8666666666666667,10.29470506527275
1,seasonal_naive,1,100007,GROCERY I,1.360655737704918,-1.6666666666666667,7.752111847441194
1,seasonal_naive,1,100008,GROCERY I,2.1666666666666665,0.13333333333333333,2.774029216723951
1,seasonal_naive,1,100009,GROCERY I,4.2,2.8,2.5410908793553326
1,seasonal_naive,1,100010,GROCERY I,1.4,-0.8666666666666667,4.323799035019793
1,seasonal_naive,1,100011,GROCERY I,2.2,0.13333333333333333,2.5875158154566122
1,seasonal_naive,1,100012,GROCERY I,1.3333333333333333,-0.9333333333333333,4.0614330100640705
1,seasonal_naive,1,100013,GROCERY I,0.39092872570194387,-0.6,16.706713791595455
1,seasonal_naive,1,100014,GROCERY I,1.2230769230769232,-1.1333333333333333,14.282190041480069
1,seasonal_naive,1,100015,GROCERY I,0.9211356466876972,9.866666666666667,21.473793552230344
1,seasonal_naive,1,100016,GROCERY I,1.225,4.733333333333333,12.372011423639513
1,seasonal_naive,1,100017,GROCERY I,0.5727002967359051,-7.266666666666667,16.42935815921637
1,seasonal_naive,1,100018,GROCERY I,0.7580645161290323,0.2,4.798809376144403
1,seasonal_naive,1,100019,GROCERY I,1.5827814569536425,7.4,24.209797308409783
1,seasonal_naive,1,100020,BEVERAGES,1.028436018957346,-7.4,18.24358987229683
1,seasonal_naive,1,100021,BEVERAGES,1.3191489361702127,2.2666666666666666,4.847188679558296
1,seasonal_naive,1,100022,BEVERAGES,1.0737327188940091,-0.8666666666666667,20.444582470203503
1,seasonal_naive,1,100023,BEVERAGES,0.9553072625698324,-4.6,14.341747253585048
1,seasonal_naive,1,100024,BEVERAGES,0.7887323943661971,-2.1333333333333333,6.423913656538876
1,seasonal_naive,1,100025,BEVERAGES,1.7317073170731707,0.06666666666666667,7.055561804771635
1,seasonal_naive,1,100026,BEVERAGES,3.3,3.3333333333333335,5.498917642417936
