item_nbr,sigma_error,avg_demand,perishable
100020,8.846181270178993,14.9,0
100021,6.748974545779119,6.888888888888889,0
100022,6.486800159232456,11.333333333333334,0
100023,16.053368352114642,20.88888888888889,0
100024,6.506952403433976,8.6,0
100025,2.542008141527336,4.666666666666667,0
100026,2.5019007474150814,5.666666666666667,0
100027,3.3628741529758104,10.75,0
100028,2.2659763247351483,15.142857142857142,0
100029,2.055655033932194,7.714285714285714,0
100030,1.4251594652415704,8.0,0
100031,8.84956618647262,17.636363636363637,0
100032,3.022687906911766,14.428571428571429,0
